Date,Ticker,Open,High,Low,Close,Volume
2024-06-12,Life Insurance,10263.03,10372.16,10261.25,10282.68,208409099.1
2024-06-12,Others Index,1636.01,1654.81,1635.72,1641.62,254054990.3
2024-06-12,Banking SubIndex,1119.9,1136.19,1119.9,1126.81,255845555.8
2024-06-12,Manufacturing And Processing,6617.59,6730.43,6617.59,6662.88,352359880.8
2024-06-12,Investment,77.85,78.55,77.85,78.03,613756129
2024-06-12,Finance Index,2219.84,2244.71,2192.23,2235.08,630597790.1
2024-06-12,Microfinance Index,4680.26,4748.4,4677.28,4724.03,968022085.6
2024-06-12,HydroPower Index,2650.27,2663.64,2610.13,2628.2,2002389575
2024-06-12,Nepse Index,2117.06,2133.73,2116.4,2121.62,5894089245
2024-06-12,Non Life Insurance,10901.15,11003.26,10819.36,10834.9,268084135.7
2024-06-13,Banking SubIndex,1129.07,1131.04,1115.66,1121.93,193042217.8
2024-06-13,Mutual Fund,18.98,19.04,18.89,18.96,3466650.21
2024-06-13,Trading Index,2978.18,2998.06,2937.29,2947.34,25275664.9
2024-06-13,Non Life Insurance,10834.9,10866.48,10738.35,10745.94,139447989.2
2024-06-13,Life Insurance,10314.75,10314.75,10204.27,10229.86,149616939.7
2024-06-13,Hotels And Tourism,5428.19,5489.39,5412.53,5419.72,172775559.4
2024-06-13,Manufacturing And Processing,6671.3,6683.99,6584.03,6593.61,203090579.2
2024-06-13,Others Index,1647.32,1647.69,1622.63,1628.29,309771129.3
2024-06-13,Investment,77.98,78.09,77.53,77.53,459289944.5
2024-06-13,Development Bank Index,4114.76,4238.53,4061.65,4143.69,571834978.9
2024-06-13,Microfinance Index,4728.33,4758.39,4688.87,4705.66,1055415582
2024-06-13,Finance Index,2235.08,2334.27,2235.08,2280.56,1369634683
2024-06-13,HydroPower Index,2631.3,2633.77,2599.24,2612.51,1685939425
2024-06-13,Nepse Index,2125.31,2126.61,2106.65,2112.29,6443029208
2024-06-16,Mutual Fund,18.96,19,18.87,18.93,4191982.05
2024-06-16,Trading Index,2947.34,2988.49,2929.18,2944.6,9032561
2024-06-16,Hotels And Tourism,5429.4,5506.72,5422.03,5422.03,109091571.8
2024-06-16,Non Life Insurance,10745.94,10796.62,10656.34,10677.72,129832635.5
2024-06-16,Banking SubIndex,1125.26,1125.26,1109.08,1112.36,175609486.2
2024-06-16,Manufacturing And Processing,6593.61,6612.94,6522.29,6530.66,175653843.9
2024-06-16,Life Insurance,10239.54,10293.15,10181.05,10192.77,204672780
2024-06-16,Development Bank Index,4145.61,4172.43,4089.37,4093.78,215985592.9
2024-06-16,Others Index,1629.24,1641.14,1603.22,1609.93,262566094.7
2024-06-16,Investment,78.19,78.19,76.64,76.89,446669680.2
2024-06-16,Microfinance Index,4704.43,4714.49,4602.24,4625.09,817475857.5
2024-06-16,Finance Index,2283.8,2312.1,2258.79,2263.55,899097907.4
2024-06-16,HydroPower Index,2615.37,2630.99,2597.49,2606.35,1976668259
2024-06-16,Nepse Index,2116.03,2116.03,2090.32,2095.25,5472253552
2024-06-18,Trading Index,2944.6,2972.15,2923.22,2926.01,19564033.4
2024-06-18,Hotels And Tourism,5422.03,5428.77,5382.5,5382.5,68998610
2024-06-18,Non Life Insurance,10677.72,10690.27,10588.98,10588.98,130188584.1
2024-06-18,Life Insurance,10240.58,10260.94,10085.15,10092.18,142085933.1
2024-06-18,Development Bank Index,4089.9,4096.92,4045.24,4057.83,150236695.2
2024-06-18,Manufacturing And Processing,6537.75,6547.94,6486.81,6496.09,178735971.7
2024-06-18,Mutual Fund,18.93,18.93,18.77,18.79,4962073.22
2024-06-18,Banking SubIndex,1115.73,1115.73,1097.4,1099.41,205839536.6
2024-06-18,Investment,76.89,77.04,76.13,76.26,306595164.9
2024-06-18,Finance Index,2263.78,2274.95,2235.8,2239.86,473073092.4
2024-06-18,Microfinance Index,4621.47,4623.24,4577.08,4595.28,697302784.9
2024-06-18,HydroPower Index,2607.4,2610.94,2578.44,2583.45,1458771712
2024-06-18,Nepse Index,2098.59,2098.59,2073.98,2076.49,4055737884
2024-06-18,Others Index,1616.26,1616.55,1593.42,1597.51,205518628.7
2024-06-19,Mutual Fund,18.79,18.79,18.69,18.77,1827389
2024-06-19,Trading Index,2926.01,2953.6,2887.23,2887.23,16764577.5
2024-06-19,Hotels And Tourism,5382.5,5402.4,5342.97,5362.84,69032934.8
2024-06-19,Life Insurance,10077.84,10121.47,10029.8,10078.9,104157132.3
2024-06-19,Non Life Insurance,10588.98,10644.88,10552.51,10607.87,108399481.1
2024-06-19,Manufacturing And Processing,6483.3,6541.43,6460.55,6467.85,121007264.8
2024-06-19,Development Bank Index,4057.83,4074.46,4036.39,4052.61,124135973.4
2024-06-19,Banking SubIndex,1103.72,1105.66,1095.98,1101.03,130414350.4
2024-06-19,Others Index,1598.11,1612.92,1595.04,1600.08,138123187.2
2024-06-19,Investment,76.21,76.66,76.04,76.12,219130275.6
2024-06-19,Microfinance Index,4589.03,4631.66,4578.85,4602.16,608522352.4
2024-06-19,Finance Index,2247.25,2326.4,2238.01,2298.74,744097021.3
2024-06-19,HydroPower Index,2582.36,2602.06,2579.54,2591.96,983123976.6
2024-06-19,Nepse Index,2077.74,2086.65,2073.43,2078.76,3404372633
2024-06-20,Mutual Fund,18.77,18.84,18.68,18.8,5013772.04
2024-06-20,Trading Index,2887.23,2936.81,2842.78,2866.47,37403110.4
2024-06-20,Hotels And Tourism,5362.84,5386.97,5293.75,5313.26,87352145.9
2024-06-20,Manufacturing And Processing,6495.11,6522.78,6435.66,6457.4,118759642.9
2024-06-20,Non Life Insurance,10624.64,10624.64,10525.61,10574.82,125347169.3
2024-06-20,Life Insurance,10131.6,10145.12,9979.09,9996.89,126854932.6
2024-06-20,Development Bank Index,4050.79,4066.97,4017.99,4017.99,150696755.1
2024-06-20,Others Index,1623.53,1627.07,1586.29,1592.86,164134987.2
2024-06-20,Banking SubIndex,1120.23,1120.23,1091.59,1094.23,169301760.4
2024-06-20,Investment,76.57,76.59,75.82,76,332347936.7
2024-06-20,Microfinance Index,4602.21,4607.11,4554.98,4572.09,562854964.4
2024-06-20,Finance Index,2302.54,2375.7,2302.43,2340.76,769174848
2024-06-20,HydroPower Index,2604.15,2604.35,2566.39,2576.74,1200286146
